Id;Caracteristique
1624;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:271mm,Hauteur d'un verre:45.5mm,Matière:Plastique,Forme:Rectangle,Genre:Homme,Couleur:marron_582900
1568;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:271mm,Hauteur d'un verre:45.5mm,Matière:Plastique,Forme:Rectangle,Genre:Homme,Couleur:vert_00FF00
1632;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:271mm,Hauteur d'un verre:45.5mm,Matière:Plastique,Forme:Rectangle,Genre:Homme,Couleur:gris_606060
1576;Longueur des branches:145mm,Largeur d'un verre:57mm,Largeur du pont:18mm,Largeur totale:277mm,Hauteur d'un verre:42.4mm,Matière:Plastique,Forme:Carré,Genre:Homme,Couleur:marron_582900
1640;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:271mm,Hauteur d'un verre:50.1mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:marron_582900
1584;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:16mm,Largeur totale:266mm,Hauteur d'un verre:43.2mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:marron_582900
1648;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:16mm,Largeur totale:266mm,Hauteur d'un verre:43.2mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:gris_606060
1532;Longueur des branches:150mm,Largeur d'un verre:54mm,Largeur du pont:20mm,Largeur totale:278mm,Hauteur d'un verre:53.9mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:orange_ED7F10
1712;Longueur des branches:150mm,Largeur d'un verre:54mm,Largeur du pont:20mm,Largeur totale:278mm,Hauteur d'un verre:53.9mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:rose_FD6C9E
1476;Longueur des branches:135mm,Largeur d'un verre:55mm,Largeur du pont:18mm,Largeur totale:263mm,Hauteur d'un verre:46.6mm,Matière:Plastique,Forme:Rectangle,Genre:Femme,Couleur:marron_582900
1656;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:18mm,Largeur totale:268mm,Hauteur d'un verre:51mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:violet_660099
1540;Longueur des branches:145mm,Largeur d'un verre:53mm,Largeur du pont:20mm,Largeur totale:271mm,Hauteur d'un verre:49.6mm,Matière:Métal,Forme:Papillon,Genre:Femme,Couleur:gris_606060
1720;Longueur des branches:140mm,Largeur d'un verre:52.2mm,Largeur du pont:21mm,Largeur totale:265.4mm,Hauteur d'un verre:47.3mm,Matière:Plastique,Forme:Ronde,Genre:Femme,Couleur:gris_606060
1484;Longueur des branches:140mm,,Largeur du pont:137mm,Largeur totale:277mm,Hauteur d'un verre:mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:gris_606060
1664;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:19mm,Largeur totale:269mm,Hauteur d'un verre:48mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:marron_582900
1428;Longueur des branches:140mm,Largeur d'un verre:58.5mm,Largeur du pont:15mm,Largeur totale:272mm,Hauteur d'un verre:50.2mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:gris_606060
