ID;Actif (0/1);Nom;Catégories (x,y,z...);Prix de vente TTC;ID règles de taxes;Prix d'achat;Référence;fournisseur;Fabricant;EAN-13;Quantité;Caractéristique;;;;;
5060;0;Lunettes de vue Versace 0VE3235B 5076 52;32,97,100;139,99;1;84,14;0VE3235B 5076 52;3;18;8053672769524;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:16mm,Largeur du pont:120mm,Hauteur d'un verre:42.2mm;;;;;
5061;0;Lunettes de vue Versace 0VE1246B 1052 54;32,97,100;109,99;1;62,71;0VE1246B 1052 54;3;18;8053672754438;10;Longueur des branches:135mm,Largeur d'un verre:54mm,Largeur du pont:17mm,Largeur du pont:125mm,Hauteur d'un verre:41.8mm;;;;;
5062;0;Lunettes de vue Versace 0VE3247 GB1 53;32,97,100;109,99;1;62,71;0VE3247 GB1 53;3;18;8053672754223;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:18mm,Largeur du pont:124mm,Hauteur d'un verre:43.0mm;;;;;
5063;0;Lunettes de vue Versace 0VE1250 1009 52;32,97,100;129,99;1;77;0VE1250 1009 52;3;18;8053672816716;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:17mm,Largeur du pont:121mm,Hauteur d'un verre:44.0mm;;;;;
5064;0;Lunettes de vue Versace 0VE1248B 1252 52;32,97,100;129,99;1;77;0VE1248B 1252 52;3;18;8053672800388;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:16mm,Largeur du pont:120mm,Hauteur d'un verre:40.5mm;;;;;
5065;0;Lunettes de vue Versace 0VE3249 108 54;32,97,100;109,99;1;62,71;0VE3249 108 54;3;18;8053672798821;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:16mm,Largeur du pont:124mm,Hauteur d'un verre:36.3mm;;;;;
5066;0;Lunettes de vue Versace 0VE3250 108 54;32,97,100;109,99;1;62,71;0VE3250 108 54;3;18;8053672799187;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:19mm,Largeur du pont:127mm,Hauteur d'un verre:44.2mm;;;;;
5067;0;Lunettes de vue Versace 0VE3250 5160 52;32,97,100;109,99;1;62,71;0VE3250 5160 52;3;18;8053672799194;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:19mm,Largeur du pont:123mm,Hauteur d'un verre:42.5mm;;;;;
5068;0;Lunettes de vue Versace 0VE3252 GB1 52;32,97,99;119,99;1;69,86;0VE3252 GB1 52;3;18;8053672799354;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:19mm,Largeur du pont:123mm,Hauteur d'un verre:41.3mm;;;;;
5069;0;Lunettes de vue Versace 0VE3255 5230 52;32,97,100;109,99;1;66,29;0VE3255 5230 52;3;18;8053672799835;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:17mm,Largeur du pont:121mm,Hauteur d'un verre:38.1mm;;;;;
5070;0;Lunettes de vue Versace 0VE3255 5230 54;32,97,100;109,99;1;66,29;0VE3255 5230 54;3;18;8053672799828;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:17mm,Largeur du pont:125mm,Hauteur d'un verre:39.5mm;;;;;
5071;0;Lunettes de vue Versace 0VE3255 5263 52;32,97,100;109,99;1;66,29;0VE3255 5263 52;3;18;8053672799811;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:17mm,Largeur du pont:121mm,Hauteur d'un verre:38.1mm;;;;;
5072;0;Lunettes de vue Versace 0VE3256 GB1 52;32,97,100;109,99;1;66,29;0VE3256 GB1 52;3;18;8053672852219;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:17mm,Largeur du pont:121mm,Hauteur d'un verre:42.6mm;;;;;
5073;0;Lunettes de vue Versace 0VE1254B 1001 56;32,97,100;129,99;1;77;0VE1254B 1001 56;3;18;8053672889765;10;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:15mm,Largeur du pont:127mm,Hauteur d'un verre:40.7mm;;;;;
5074;0;Lunettes de vue Versace 0VE1253 1431 52;32,97,100;129,99;1;77;0VE1253 1431 52;3;18;8053672889604;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:16mm,Largeur du pont:120mm,Hauteur d'un verre:40.3mm;;;;;
5075;0;Lunettes de vue Versace 0VE1252 1001 55;32,97,99;129,99;1;77;0VE1252 1001 55;3;18;8053672889482;10;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur du pont:127mm,Hauteur d'un verre:42.7mm;;;;;
5076;0;Lunettes de vue Versace 0VE1252 1428 55;32,97,99;129,99;1;77;0VE1252 1428 55;3;18;8053672889468;10;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur du pont:127mm,Hauteur d'un verre:42.7mm;;;;;
5077;0;Lunettes de vue Versace 0VE3261 5280 54;32,97,100;109,99;1;62,71;0VE3261 5280 54;3;18;8053672889345;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:17mm,Largeur du pont:125mm,Hauteur d'un verre:41.0mm;;;;;
5078;0;Lunettes de vue Versace 0VE3261 108 54;32,97,100;109,99;1;62,71;0VE3261 108 54;3;18;8053672889321;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:17mm,Largeur du pont:125mm,Hauteur d'un verre:41.0mm;;;;;
5079;0;Lunettes de vue Versace 0VE3259 5276 50;32,97,100;109,99;1;62,71;0VE3259 5276 50;3;18;8053672889093;10;Longueur des branches:140mm,Largeur d'un verre:50mm,Largeur du pont:20mm,Largeur du pont:120mm,Hauteur d'un verre:40.0mm;;;;;
5080;0;Lunettes de vue Versace 0VE3259 5276 52;32,97,100;109,99;1;62,71;0VE3259 5276 52;3;18;8053672889086;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:20mm,Largeur du pont:124mm,Hauteur d'un verre:41.2mm;;;;;
5081;0;Lunettes de vue Versace 0VE3259 GB1 50;32,97,100;109,99;1;62,71;0VE3259 GB1 50;3;18;8053672889079;10;Longueur des branches:140mm,Largeur d'un verre:50mm,Largeur du pont:20mm,Largeur du pont:120mm,Hauteur d'un verre:40.0mm;;;;;
5082;0;Lunettes de vue Versace 0VE1184 1261 53;32,97,99;99,99;1;59,14;0VE1184 1261 53;3;18;725125715010;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:18mm,Largeur du pont:124mm,Hauteur d'un verre:31.6mm;;;;;
5083;0;Lunettes de vue Versace 0VE1184 1267 53;32,97,99;99,99;1;57,14;0VE1184 1267 53;3;18;725125715034;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:18mm,Largeur du pont:124mm,Hauteur d'un verre:31.6mm;;;;;
5084;0;Lunettes de vue Versace 0VE1092B 1045 53;32,97,100;109,99;1;62,71;0VE1092B 1045 53;3;18;725125503563;10;Longueur des branches:130mm,Largeur d'un verre:53mm,Largeur du pont:16mm,Largeur du pont:122mm,Hauteur d'un verre:32.0mm;;;;;
5085;0;Lunettes de vue Versace 0VE1163B 1013 52;32,97,100;119,99;1;73,43;0VE1163B 1013 52;3;18;725125701259;10;Longueur des branches:130mm,Largeur d'un verre:52,1mm,Largeur du pont:16mm,Largeur du pont:120,2mm,Hauteur d'un verre:31.5mm;;;;;
5086;0;Lunettes de vue Versace 0VE3164 991 51;32,97,100;99,99;1;59,14;0VE3164 991 51;3;18;725125747417;10;Longueur des branches:135mm,Largeur d'un verre:51mm,Largeur du pont:16mm,Largeur du pont:118mm,Hauteur d'un verre:31.9mm;;;;;
5087;0;Lunettes de vue Versace 0VE1120 1009 54;32,97,99;99,99;1;60,93;0VE1120 1009 54;3;18;725125625081;10;Longueur des branches:140mm,Largeur d'un verre:54,1mm,Largeur du pont:16mm,Largeur du pont:124,2mm,Hauteur d'un verre:30.8mm;;;;;
5088;0;Lunettes de vue Versace 0VE1218 1345 53;32,97,100;109,99;1;62,71;0VE1218 1345 53;3;18;8053672139198;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:17mm,Largeur du pont:123mm,Hauteur d'un verre:38.7mm;;;;;
5089;0;Lunettes de vue Versace 0VE3186 5184 54;32,97,100;109,99;1;62,71;0VE3186 5184 54;3;18;8053672688658;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:16mm,Largeur du pont:124mm,Hauteur d'un verre:35.0mm;;;;;
5090;0;Lunettes de vue Versace 0VE1163M 1013 52;32,97,100;99,99;1;59,14;0VE1163M 1013 52;3;18;8053672341737;10;Longueur des branches:130mm,Largeur d'un verre:52,1mm,Largeur du pont:16mm,Largeur du pont:120,2mm,Hauteur d'un verre:31.5mm;;;;;
5091;0;Lunettes de vue Versace 0VE3211 5111 55;32,97,99;109,99;1;62,71;0VE3211 5111 55;3;18;8053672769579;10;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur du pont:127mm,Hauteur d'un verre:37.3mm;;;;;
5092;0;Lunettes de vue Versace 0VE3218 GB1 53;32,97,99;109,99;1;62,71;0VE3218 GB1 53;3;18;8053672468915;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:17mm,Largeur du pont:123mm,Hauteur d'un verre:39.3mm;;;;;
5093;0;Lunettes de vue Versace 0VE3224 GB1 54;32,97,100;119,99;1;69,86;0VE3224 GB1 54;3;18;8053672504538;10;Longueur des branches:140mm,Largeur d'un verre:54,1mm,Largeur du pont:17mm,Largeur du pont:125,2mm,Hauteur d'un verre:39.3mm;;;;;
5094;0;Lunettes de vue Versace 0VE3229 5188 52;32,97,100;119,99;1;69,86;0VE3229 5188 52;3;18;8053672583373;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:16mm,Largeur du pont:120mm,Hauteur d'un verre:44.7mm;;;;;
5095;0;Lunettes de vue Versace 0VE1237 1352 53;32,97,100;109,99;1;62,71;0VE1237 1352 53;3;18;8053672583748;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:17mm,Largeur du pont:123mm,Hauteur d'un verre:41.1mm;;;;;
5096;0;Lunettes de vue Versace 0VE3235B GB1 54;32,97,100;139,99;1;84,14;0VE3235B GB1 54;3;18;8053672645057;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:16mm,Largeur du pont:124mm,Hauteur d'un verre:43.9mm;;;;;
